tool,data_type,read_type,subsample_perc,assembler,perc_ID,perc_query_coverage,number of correct AMR genes identified,number of AMR genes identified,recall,precision,cuttoffs,f_score,number of baseline AMR genes
Bandage,High Complexity,Long Read,100,MetaFlye,0.5,0.5,55,58,0.040801187,0.948275862,0.5_0.5,0.078236131,1348
Bandage,High Complexity,Long Read,100,Shasta,0.5,0.5,0,0,0,0,0.5_0.5,0,1348
Bandage,High Complexity,Short Read,100,Megahit,0.5,0.5,103,110,0.076409496,0.936363636,0.5_0.5,0.141289438,1348
Bandage,High Complexity,Short Read,100,MetaSPAdes,0.5,0.5,116,121,0.086053412,0.958677686,0.5_0.5,0.157930565,1348
Bandage,Low Complexity,Long Read,100,MetaFlye,0.5,0.5,17,19,0.5,0.894736842,0.5_0.5,0.641509434,34
Bandage,Low Complexity,Long Read,100,Shasta,0.5,0.5,11,11,0.3235294117647059,1,0.5_0.5,0.488888889,34
Bandage,Low Complexity,Short Read,100,Megahit,0.5,0.5,16,18,0.47058823529411764,0.888888889,0.5_0.5,0.615384615,34
Bandage,Low Complexity,Short Read,100,MetaSPAdes,0.5,0.5,18,20,0.5294117647058824,0.9,0.5_0.5,0.666666667,34
Bandage,Mobile Element,Long Read,100,MetaFlye,0.5,0.5,32,48,0.2807017543859649,0.666666667,0.5_0.5,0.395061728,114
Bandage,Mobile Element,Long Read,100,Shasta,0.5,0.5,0,0,0,0,0.5_0.5,0,114
Bandage,Mobile Element,Short Read,100,Megahit,0.5,0.5,1,2,0.00877193,0.5,0.5_0.5,0.017241379,114
Bandage,Mobile Element,Short Read,100,MetaSPAdes,0.8,0.5,50,69,0.43859649122807015,0.724637681,0.8_0.5,0.546448087,114
Bandage,Real Zymbiomics,Long Read,100,MetaFlye,0.8,0.5,131,136,0.7081081081081081,0.963235294,0.8_0.5,0.816199377,185
Bandage,Real Zymbiomics,Long Read,100,Shasta,0.8,0.5,106,110,0.572972973,0.963636364,0.8_0.5,0.718644068,185
Bandage,Real Zymbiomics,Short Read,100,Megahit,0.8,0.5,130,135,0.7027027027027027,0.962962963,0.8_0.5,0.8125,185
Bandage,Real Zymbiomics,Short Read,100,MetaSPAdes,0.8,0.5,130,135,0.7027027027027027,0.962962963,0.8_0.5,0.8125,185
Bifrost,High Complexity,Long Read,100,MetaFlye,0.8,NA,43,50,0.031899109792284865,0.86,0.8_NA,0.061516452,1348
Bifrost,High Complexity,Long Read,100,Shasta,0.5,NA,0,0,0,0,0.5_NA,0,1348
Bifrost,High Complexity,Short Read,100,Megahit,0.5,NA,105,123,0.077893175,0.853658537,0.5_NA,0.142760027,1348
Bifrost,High Complexity,Short Read,100,MetaSPAdes,0.5,NA,97,111,0.071958457,0.873873874,0.5_NA,0.132967786,1348
Bifrost,Low Complexity,Long Read,100,MetaFlye,0.5,NA,14,15,0.4117647058823529,0.933333333,0.5_NA,0.571428571,34
Bifrost,Low Complexity,Long Read,100,Shasta,0.5,NA,0,0,0,0,0.5_NA,0,34
Bifrost,Low Complexity,Short Read,100,Megahit,0.5,NA,15,16,0.4411764705882353,0.9375,0.5_NA,0.6,34
Bifrost,Low Complexity,Short Read,100,MetaSPAdes,0.5,NA,7,8,0.20588235294117646,0.875,0.5_NA,0.333333333,34
Bifrost,Mobile Element,Long Read,100,MetaFlye,0.5,NA,25,42,0.21929824561403508,0.595238095,0.5_NA,0.320512821,114
Bifrost,Mobile Element,Long Read,100,Shasta,0.5,NA,0,0,0,0,0.5_NA,0,114
Bifrost,Mobile Element,Short Read,100,Megahit,0.5,NA,3,7,0.026315789,0.428571429,0.5_NA,0.049586777,114
Bifrost,Mobile Element,Short Read,100,MetaSPAdes,0.5,NA,42,58,0.3684210526315789,0.724137931,0.5_NA,0.488372093,114
Bifrost,Real Zymbiomics,Long Read,100,MetaFlye,0.5,NA,89,91,0.4810810810810811,0.978021978,0.5_NA,0.644927536,185
Bifrost,Real Zymbiomics,Long Read,100,Shasta,0.5,NA,0,0,0,0,0.5_NA,0,185
Bifrost,Real Zymbiomics,Short Read,100,Megahit,0.5,NA,103,105,0.5567567567567567,0.980952381,0.5_NA,0.710344828,185
Bifrost,Real Zymbiomics,Short Read,100,MetaSPAdes,0.5,NA,103,105,0.5567567567567567,0.980952381,0.5_NA,0.710344828,185
GraphAligner,High Complexity,Long Read,100,MetaFlye,0.5,0.5,64,68,0.047477745,0.941176471,0.5_0.5,0.09039548,1348
GraphAligner,High Complexity,Long Read,100,Shasta,0.5,0.5,0,0,0,0,0.5_0.5,0,1348
GraphAligner,High Complexity,Short Read,100,Megahit,0.5,0.5,215,227,0.15949554896142434,0.947136564,0.5_0.5,0.273015873,1348
GraphAligner,High Complexity,Short Read,100,MetaSPAdes,0.5,0.5,219,230,0.16246290801186944,0.952173913,0.5_0.5,0.27756654,1348
GraphAligner,Low Complexity,Long Read,100,MetaFlye,0.8,0.5,18,20,0.5294117647058824,0.9,0.8_0.5,0.666666667,34
GraphAligner,Low Complexity,Long Read,100,Shasta,0.5,0.9,13,14,0.38235294117647056,0.928571429,0.5_0.9,0.541666667,34
GraphAligner,Low Complexity,Short Read,100,Megahit,0.8,0.5,19,21,0.5588235294117647,0.904761905,0.8_0.5,0.690909091,34
GraphAligner,Low Complexity,Short Read,100,MetaSPAdes,0.5,0.9,19,21,0.5588235294117647,0.904761905,0.5_0.9,0.690909091,34
GraphAligner,Mobile Element,Long Read,100,MetaFlye,0.7,0.7,44,67,0.38596491228070173,0.656716418,0.7_0.7,0.486187845,114
GraphAligner,Mobile Element,Long Read,100,Shasta,0.5,0.5,0,2,0,0,0.5_0.5,0,114
GraphAligner,Mobile Element,Short Read,100,Megahit,0.5,0.5,9,14,0.078947368,0.642857143,0.5_0.5,0.140625,114
GraphAligner,Mobile Element,Short Read,100,MetaSPAdes,0.9,0.5,56,68,0.49122807017543857,0.823529412,0.9_0.5,0.615384615,114
GraphAligner,Real Zymbiomics,Long Read,100,MetaFlye,0.8,0.5,132,138,0.7135135135135136,0.956521739,0.8_0.5,0.817337461,185
GraphAligner,Real Zymbiomics,Long Read,100,Shasta,0.8,0.5,111,115,0.6,0.965217391,0.8_0.5,0.74,185
GraphAligner,Real Zymbiomics,Short Read,100,Megahit,0.8,0.9,131,137,0.7081081081081081,0.95620438,0.8_0.9,0.813664596,185
GraphAligner,Real Zymbiomics,Short Read,100,MetaSPAdes,0.8,0.5,132,138,0.7135135135135136,0.956521739,0.8_0.5,0.817337461,185
Minigraph,High Complexity,Long Read,100,MetaFlye,0.5,0.5,37,44,0.027448071,0.840909091,0.5_0.5,0.05316092,1348
Minigraph,High Complexity,Long Read,100,Shasta,0.5,0.5,0,0,0,0,0.5_0.5,0,1348
Minigraph,High Complexity,Short Read,100,Megahit,0.5,0.5,105,120,0.077893175,0.875,0.5_0.5,0.143051771,1348
Minigraph,High Complexity,Short Read,100,MetaSPAdes,0.5,0.5,103,117,0.076409496,0.88034188,0.5_0.5,0.140614334,1348
Minigraph,Low Complexity,Long Read,100,MetaFlye,0.5,0.5,17,19,0.5,0.894736842,0.5_0.5,0.641509434,34
Minigraph,Low Complexity,Long Read,100,Shasta,0.5,0.5,0,0,0,0,0.5_0.5,0,34
