<<<<<<< HEAD
name	taxid	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	percent_total_reads	accn
Streptomyces sp. KY70	2772432	S	11	926	937	1.00E-05	1.00E-03	GCF_904440635.1
Mycobacterium tuberculosis complex sp. N0145	2583631	S	4	329	333	2.00E-05	2.00E-03	GCF_030323745.1
Rhodococcus sp. NJ-530	2490853	S	26	686	712	1.00E-05	1.00E-03	GCF_003860625.1
Corynebacterium sp. R4	3049799	S	825	105	930	1.00E-05	1.00E-03	GCF_030252165.1
Corynebacterium sp. ATCC 6931	1487956	S	1	364	365	1.00E-05	1.00E-03	GCF_000755185.1
Corynebacterium durum	61592	S	805	47	852	1.00E-05	1.00E-03	GCF_963550995.1
Corynebacterium gerontici	2079234	S	776	84	860	1.00E-05	1.00E-03	GCF_003813985.1
Corynebacterium phocae	161895	S	775	45	820	2.00E-05	2.00E-03	GCF_008693075.1
Corynebacterium argentoratense	42817	S	738	154	892	2.00E-05	2.00E-03	GCF_963523345.1
Corynebacterium macginleyi	38290	S	734	122	856	2.00E-05	2.00E-03	GCF_016889465.1
Corynebacterium choanae	1862358	S	721	46	767	2.00E-05	2.00E-03	GCF_003813965.1
Corynebacterium cystitidis	35757	S	703	10	713	2.00E-05	2.00E-03	GCF_024587105.1
Corynebacterium auriscanis	99807	S	676	142	818	2.00E-05	2.00E-03	GCF_030408435.1
Corynebacterium stationis	1705	S	667	105	772	2.00E-05	2.00E-03	GCF_032104765.1
Corynebacterium pseudopelargi	2080757	S	594	131	725	2.00E-05	2.00E-03	GCF_003814005.1
Corynebacterium ammoniagenes	1697	S	587	113	700	2.00E-05	2.00E-03	GCF_021605005.1
Corynebacterium pelargi	1471400	S	546	113	659	2.00E-05	2.00E-03	GCF_014635485.1
Corynebacterium ulcerans	65058	S	512	104	616	2.00E-05	2.00E-03	GCF_030295465.1
Corynebacterium deserti	1408191	S	471	236	707	2.00E-05	2.00E-03	GCF_001277995.1
Corynebacterium felinum	131318	S	467	38	505	2.00E-05	2.00E-03	GCF_031458315.1
Corynebacterium mustelae	571915	S	458	19	477	2.00E-05	2.00E-03	GCF_001020985.1
Corynebacterium callunae	1721	S	374	197	571	2.00E-05	2.00E-03	GCF_023096355.1
Corynebacterium anserum	2684406	S	357	36	393	2.00E-05	2.00E-03	GCF_014262665.1
Corynebacterium suranareeae	2506452	S	351	90	441	2.00E-05	2.00E-03	GCF_002355155.1
Corynebacterium poyangense	2684405	S	330	11	341	2.00E-05	2.00E-03	GCF_020144675.1
Corynebacterium crudilactis	1652495	S	293	320	613	2.00E-05	2.00E-03	GCF_001643015.1
Corynebacterium silvaticum	2320431	S	276	86	362	2.00E-05	2.00E-03	GCF_002162115.2
Corynebacterium kefirresidentii	1979527	S	123	669	792	2.00E-05	2.00E-03	GCF_030486885.1
Corynebacterium segmentosum	43990	S	39	488	527	2.00E-05	2.00E-03	GCF_900637825.1
Lawsonella clevelandensis	1528099	S	681	145	826	2.00E-05	2.00E-03	GCF_030826395.1
Frondihabitans sp. HNR	3031408	S	579	27	606	2.00E-05	2.00E-03	GCF_029760935.1
Candidatus Rhodoluna planktonica	535712	S	344	25	369	2.00E-05	2.00E-03	GCF_001854225.1
Rhodoluna lacicola	529884	S	328	50	378	2.00E-05	2.00E-03	GCF_026000635.1
Rhodoluna limnophila	232537	S	260	160	420	2.00E-05	2.00E-03	GCF_005845385.1
Aquiluna sp. KACHI24	2968831	S	303	58	361	2.00E-05	2.00E-03	GCF_025997915.1
Aquiluna borgnonia	2499157	S	460	56	516	2.00E-05	2.00E-03	GCF_013283855.1
Aurantimicrobium photophilum	1987356	S	458	31	489	2.00E-05	2.00E-03	GCF_003194085.1
Pontimonas salivibrio	1159327	S	601	27	628	2.00E-05	2.00E-03	GCF_002950575.1
Glutamicibacter sp. M10	3023076	S	584	144	728	2.00E-05	2.00E-03	GCF_025452055.1
Rothia sp. SD9660Na	3047030	S	727	185	912	2.00E-05	2.00E-03	GCF_030064065.1
Rothia sp. ZJ932	2810516	S	302	50	352	2.00E-05	2.00E-03	GCF_016924835.1
