Dataset	Genome_replicon	AMR_annotation_count
High complexity	GCF_000006985.1	2
High complexity	GCF_000009265.1	4
High complexity	GCF_000009365.1	4
High complexity	GCF_000009985.1	2
High complexity	GCF_000010085.1	12
High complexity	GCF_000010525.1	4
High complexity	GCF_000010665.1	3
High complexity	GCF_000010725.1	2
High complexity	GCF_000011305.1	2
High complexity	GCF_000011345.1	4
High complexity	GCF_000011385.1	6
High complexity	GCF_000012505.1	2
High complexity	GCF_000012525.1	4
High complexity	GCF_000012865.1	2
High complexity	GCF_000012885.1	3
High complexity	GCF_000012925.1	3
High complexity	GCF_000012985.1	3
High complexity	GCF_000013025.1	2
High complexity	GCF_000013205.1	4
High complexity	GCF_000013225.1	3
High complexity	GCF_000013405.1	4
High complexity	GCF_000013565.1	1
High complexity	GCF_000013625.1	3
High complexity	GCF_000013885.1	3
High complexity	GCF_000014005.1	5
High complexity	GCF_000014065.1	1
High complexity	GCF_000014145.1	3
High complexity	GCF_000014865.1	1
High complexity	GCF_000014965.1	4
High complexity	GCF_000015045.1	4
High complexity	GCF_000015125.1	1
High complexity	GCF_000015165.1	1
High complexity	GCF_000015245.1	1
High complexity	GCF_000015265.1	3
High complexity	GCF_000015505.1	2
High complexity	GCF_000016185.1	2
High complexity	GCF_000016425.1	3
High complexity	GCF_000016665.1	8
High complexity	GCF_000016725.1	1
High complexity	GCF_000017265.1	2
High complexity	GCF_000017505.1	4
High complexity	GCF_000017565.1	3
High complexity	GCF_000018105.1	10
High complexity	GCF_000018405.1	1
High complexity	GCF_000019165.1	4
High complexity	GCF_000019365.1	3
High complexity	GCF_000019785.1	2
High complexity	GCF_000019845.1	2
High complexity	GCF_000019965.1	2
High complexity	GCF_000020025.1	5
High complexity	GCF_000020045.1	8
High complexity	GCF_000020125.1	6
High complexity	GCF_000020365.1	2
High complexity	GCF_000020505.1	1
High complexity	GCF_000020525.1	1
High complexity	GCF_000020685.1	4
High complexity	GCF_000020725.1	1
High complexity	GCF_000020805.1	4
High complexity	GCF_000021685.1	1
High complexity	GCF_000021765.1	1
High complexity	GCF_000021905.1	2
High complexity	GCF_000021945.1	6
High complexity	GCF_000022145.1	3
High complexity	GCF_000022265.1	1
High complexity	GCF_000022565.1	1
High complexity	GCF_000023065.1	6
High complexity	GCF_000023105.1	5
High complexity	GCF_000023245.1	3
High complexity	GCF_000023445.1	5
High complexity	GCF_000023545.1	11
High complexity	GCF_000023585.1	11
High complexity	GCF_000023825.1	1
High complexity	GCF_000024025.1	7
High complexity	GCF_000024125.1	2
High complexity	GCF_000024205.1	5
High complexity	GCF_000024285.1	1
High complexity	GCF_000024325.1	2
High complexity	GCF_000024345.1	11
High complexity	GCF_000024365.1	3
High complexity	GCF_000024385.1	1
High complexity	GCF_000024545.1	9
High complexity	GCF_000024605.1	2
High complexity	GCF_000024725.1	5
High complexity	GCF_000024805.1	4
High complexity	GCF_000025005.1	3
High complexity	GCF_000025185.1	3
High complexity	GCF_000025265.1	9
High complexity	GCF_000025545.1	4
High complexity	GCF_000025705.1	1
High complexity	GCF_000025905.1	2
High complexity	GCF_000026145.1	2
High complexity	GCF_000026185.1	13
High complexity	GCF_000026445.2	8
High complexity	GCF_000058485.1	2
High complexity	GCF_000092105.1	3
High complexity	GCF_000092385.1	3
High complexity	GCF_000092825.1	1
High complexity	GCF_000092925.1	3
High complexity	GCF_000092945.1	3
High complexity	GCF_000093085.1	2
High complexity	GCF_000143085.1	6
High complexity	GCF_000143145.1	4
High complexity	GCF_000143885.2	1
High complexity	GCF_000143965.1	4
High complexity	GCF_000144645.1	5
High complexity	GCF_000145255.1	1
High complexity	GCF_000152825.2	1
High complexity	GCF_000153125.2	3
High complexity	GCF_000154965.1	8
High complexity	GCF_000155675.2	1
High complexity	GCF_000155735.2	1
High complexity	GCF_000160775.2	3
High complexity	GCF_000165715.2	2
High complexity	GCF_000165795.1	3
High complexity	GCF_000166135.1	4
High complexity	GCF_000166195.2	5
High complexity	GCF_000170775.1	1
High complexity	GCF_000172155.1	6
High complexity	GCF_000172695.2	2
High complexity	GCF_000172795.2	5
High complexity	GCF_000175935.2	15
High complexity	GCF_000177195.2	2
High complexity	GCF_000177215.2	2
High complexity	GCF_000177655.2	4
High complexity	GCF_000178815.2	2
High complexity	GCF_000178975.2	2
High complexity	GCF_000179235.2	2
High complexity	GCF_000179915.2	4
High complexity	GCF_000183115.1	5
High complexity	GCF_000183745.1	3
High complexity	GCF_000184345.1	2
High complexity	GCF_000184705.1	3
High complexity	GCF_000186345.1	2
High complexity	GCF_000186385.1	3
High complexity	GCF_000189295.2	2
High complexity	GCF_000189755.2	5
High complexity	GCF_000190555.1	3
High complexity	GCF_000190735.1	1
High complexity	GCF_000195295.1	3
High complexity	GCF_000195315.1	2
High complexity	GCF_000195335.1	3
High complexity	GCF_000195975.1	2
High complexity	GCF_000196235.1	2
High complexity	GCF_000198775.1	4
High complexity	GCF_000209655.1	2
High complexity	GCF_000210715.1	1
High complexity	GCF_000211815.1	3
High complexity	GCF_000212415.1	3
High complexity	GCF_000212675.2	3
High complexity	GCF_000212735.1	2
High complexity	GCF_000213055.1	2
High complexity	GCF_000213255.1	5
High complexity	GCF_000214175.1	5
High complexity	GCF_000214275.2	6
High complexity	GCF_000214355.1	2
High complexity	GCF_000214375.1	2
High complexity	GCF_000214395.1	6
High complexity	GCF_000217795.1	1
High complexity	GCF_000218545.1	6
High complexity	GCF_000218565.1	2
High complexity	GCF_000218895.1	3
High complexity	GCF_000219915.2	2
High complexity	GCF_000224005.2	4
High complexity	GCF_000225565.1	8
High complexity	GCF_000226315.1	2
High complexity	GCF_000227685.2	1
High complexity	GCF_000227705.2	5
High complexity	GCF_000227745.2	3
High complexity	GCF_000231405.2	7
High complexity	GCF_000233715.2	11
High complexity	GCF_000235605.1	8
High complexity	GCF_000236585.1	4
High complexity	GCF_000237305.1	5
High complexity	GCF_000237825.1	1
High complexity	GCF_000242255.2	3
High complexity	GCF_000242455.2	8
High complexity	GCF_000242595.2	1
High complexity	GCF_000242635.2	3
High complexity	GCF_000242895.2	7
High complexity	GCF_000243075.1	2
High complexity	GCF_000243115.2	2
High complexity	GCF_000243135.2	11
High complexity	GCF_000243395.2	4
High complexity	GCF_000244895.1	14
High complexity	GCF_000244915.1	5
High complexity	GCF_000244955.1	6
High complexity	GCF_000244975.1	5
High complexity	GCF_000252445.1	3
High complexity	GCF_000253255.1	2
High complexity	GCF_000253295.1	6
High complexity	GCF_000260965.1	4
High complexity	GCF_000262165.1	5
High complexity	GCF_000262465.1	4
High complexity	GCF_000262695.1	7
High complexity	GCF_000263795.2	6
High complexity	GCF_000266885.1	2
High complexity	GCF_000266945.1	6
High complexity	GCF_000270245.1	2
High complexity	GCF_000270285.1	4
High complexity	GCF_000270305.1	3
High complexity	GCF_000279145.1	1
High complexity	GCF_000280865.2	6
High complexity	GCF_000280925.3	7
High complexity	GCF_000281175.1	3
High complexity	GCF_000281715.2	3
High complexity	GCF_000282175.2	10
High complexity	GCF_000283275.1	2
High complexity	GCF_000283515.1	1
High complexity	GCF_000283535.1	1
High complexity	GCF_000284295.1	11
High complexity	GCF_000284415.1	1
High complexity	GCF_000294695.2	3
High complexity	GCF_000296215.2	5
High complexity	GCF_000297055.2	2
High complexity	GCF_000299335.2	8
High complexity	GCF_000302535.1	2
High complexity	GCF_000304315.1	1
High complexity	GCF_000305935.1	3
High complexity	GCF_000309885.1	1
High complexity	GCF_000312705.1	3
High complexity	GCF_000316175.1	5
High complexity	GCF_000316515.1	3
High complexity	GCF_000316575.1	4
High complexity	GCF_000317025.1	3
High complexity	GCF_000317045.1	4
High complexity	GCF_000317065.1	4
High complexity	GCF_000317105.1	4
High complexity	GCF_000317125.1	6
High complexity	GCF_000317145.1	5
High complexity	GCF_000317435.1	3
High complexity	GCF_000317475.1	5
High complexity	GCF_000317515.1	5
High complexity	GCF_000317535.1	3
High complexity	GCF_000317555.1	4
High complexity	GCF_000317835.1	3
High complexity	GCF_000325705.1	6
High complexity	GCF_000327045.1	3
High complexity	GCF_000328565.1	3
High complexity	GCF_000328705.1	10
High complexity	GCF_000330865.1	13
High complexity	GCF_000331105.1	4
High complexity	GCF_000332275.1	4
High complexity	GCF_000341895.1	1
High complexity	GCF_000344805.1	2
High complexity	GCF_000346225.2	7
High complexity	GCF_000347675.2	4
High complexity	GCF_000348785.1	2
High complexity	GCF_000349325.1	3
High complexity	GCF_000349845.1	10
High complexity	GCF_000349945.1	2
High complexity	GCF_000355765.4	3
High complexity	GCF_000364805.1	3
High complexity	GCF_000371885.1	5
High complexity	GCF_000372085.1	1
High complexity	GCF_000372385.1	1
High complexity	GCF_000377945.1	2
High complexity	GCF_000389965.1	4
High complexity	GCF_000389985.1	2
High complexity	GCF_000392435.1	2
High complexity	GCF_000402035.1	8
High complexity	GCF_000406205.1	10
High complexity	GCF_000412265.1	8
High complexity	GCF_000418365.1	2
High complexity	GCF_000420285.1	3
High complexity	GCF_000442645.1	1
High complexity	GCF_000445995.2	2
High complexity	GCF_000454545.1	2
High complexity	GCF_000468495.1	3
High complexity	GCF_000470975.2	8
High complexity	GCF_000484535.1	5
High complexity	GCF_000494755.1	8
High complexity	GCF_000494915.1	3
High complexity	GCF_000495635.2	3
High complexity	GCF_000495755.1	2
High complexity	GCF_000497445.1	4
High complexity	GCF_000503895.1	3
High complexity	GCF_000508205.1	9
High complexity	GCF_000511325.1	6
High complexity	GCF_000511355.1	1
High complexity	GCF_000512205.2	4
High complexity	GCF_000517405.1	11
High complexity	GCF_000520015.2	15
High complexity	GCF_000521505.1	3
High complexity	GCF_000522985.1	1
High complexity	GCF_000576085.2	1
High complexity	GCF_000576555.1	3
High complexity	GCF_000590925.1	1
High complexity	GCF_000612505.1	6
High complexity	GCF_000612545.2	5
High complexity	GCF_000632515.1	3
High complexity	GCF_000661895.1	4
High complexity	GCF_000689395.1	1
High complexity	GCF_000695095.2	1
High complexity	GCF_000698295.1	11
High complexity	GCF_000698845.1	3
High complexity	GCF_000715805.1	11
High complexity	GCF_000716965.1	2
High complexity	GCF_000722565.1	2
High complexity	GCF_000722875.1	5
High complexity	GCF_000724625.1	4
High complexity	GCF_000725345.1	10
High complexity	GCF_000725815.1	6
High complexity	GCF_000732925.1	9
High complexity	GCF_000732945.1	1
High complexity	GCF_000734975.2	3
High complexity	GCF_000735125.2	3
High complexity	GCF_000737515.1	4
High complexity	GCF_000737535.1	4
High complexity	GCF_000737575.1	2
High complexity	GCF_000737595.1	3
High complexity	GCF_000739105.1	11
High complexity	GCF_000746025.2	5
High complexity	GCF_000755185.1	1
High complexity	GCF_000756615.1	5
High complexity	GCF_000758525.1	9
High complexity	GCF_000758545.1	10
High complexity	GCF_000758565.1	9
High complexity	GCF_000758605.1	8
High complexity	GCF_000758645.1	7
High complexity	GCF_000758685.1	8
High complexity	GCF_000758705.1	8
High complexity	GCF_000759535.1	3
High complexity	GCF_000761155.1	3
High complexity	GCF_000763325.2	2
High complexity	GCF_000764535.1	3
High complexity	GCF_000766885.2	2
High complexity	GCF_000767055.1	2
High complexity	GCF_000767465.1	3
High complexity	GCF_000769405.2	4
High complexity	GCF_000772045.1	4
High complexity	GCF_000785535.1	3
High complexity	GCF_000785705.2	4
High complexity	GCF_000800395.1	3
High complexity	GCF_000801295.1	2
High complexity	GCF_000801315.1	1
High complexity	GCF_000801755.2	37
High complexity	GCF_000803645.1	3
High complexity	GCF_000807785.2	3
High complexity	GCF_000812665.2	2
High complexity	GCF_000814825.1	2
High complexity	GCF_000816025.1	5
High complexity	GCF_000816465.3	1
High complexity	GCF_000817955.1	2
High complexity	GCF_000826835.2	3
High complexity	GCF_000827125.1	3
High complexity	GCF_000828475.1	4
High complexity	GCF_000828615.1	1
High complexity	GCF_000828635.1	5
High complexity	GCF_000829195.1	6
High complexity	GCF_000829415.1	7
High complexity	GCF_000830005.1	9
High complexity	GCF_000830985.1	3
High complexity	GCF_000876675.2	2
High complexity	GCF_000877815.1	18
High complexity	GCF_000931445.1	2
High complexity	GCF_000931465.1	16
High complexity	GCF_000934545.1	2
High complexity	GCF_000934605.2	2
High complexity	GCF_000935025.1	3
High complexity	GCF_000940805.1	5
High complexity	GCF_000943515.2	8
High complexity	GCF_000943805.1	2
High complexity	GCF_000948975.2	4
High complexity	GCF_000948985.2	5
High complexity	GCF_000950575.1	6
High complexity	GCF_000954115.1	1
High complexity	GCF_000959325.1	8
High complexity	GCF_000960975.1	1
High complexity	GCF_000961095.1	9
High complexity	GCF_000964255.1	3
High complexity	GCF_000967425.1	1
High complexity	GCF_000968535.2	3
High complexity	GCF_000968715.2	2
High complexity	GCF_000969645.2	8
High complexity	GCF_000972785.3	3
High complexity	GCF_000973065.1	4
High complexity	GCF_000973725.1	4
High complexity	GCF_000974425.1	3
High complexity	GCF_000974685.2	2
High complexity	GCF_000975265.2	6
High complexity	GCF_000981565.1	3
High complexity	GCF_000982975.1	3
High complexity	GCF_000993785.3	7
High complexity	GCF_001007875.1	4
High complexity	GCF_001010355.1	1
High complexity	GCF_001010805.1	2
High complexity	GCF_001011035.1	6
High complexity	GCF_001011155.1	1
High complexity	GCF_001017435.1	3
High complexity	GCF_001017655.1	1
High complexity	GCF_001020985.1	1
High complexity	GCF_001021025.1	2
High complexity	GCF_001021065.1	2
High complexity	GCF_001021385.1	3
High complexity	GCF_001021485.1	5
High complexity	GCF_001029105.3	3
High complexity	GCF_001040905.1	6
High complexity	GCF_001047315.1	2
High complexity	GCF_001051995.2	7
High complexity	GCF_001057055.1	1
High complexity	GCF_001077815.2	2
High complexity	GCF_001078055.1	2
High complexity	GCF_001180325.1	2
High complexity	GCF_001183865.1	1
High complexity	GCF_001186215.2	11
High complexity	GCF_001186405.1	1
High complexity	GCF_001189295.1	5
High complexity	GCF_001189515.2	1
High complexity	GCF_001189535.1	2
High complexity	GCF_001189555.1	3
High complexity	GCF_001190925.1	1
High complexity	GCF_001190945.1	5
High complexity	GCF_001191005.1	5
High complexity	GCF_001263175.1	2
High complexity	GCF_001263205.1	12
High complexity	GCF_001263395.1	2
High complexity	GCF_001266755.1	1
High complexity	GCF_001266795.1	5
High complexity	GCF_001267925.1	3
High complexity	GCF_001271345.1	7
High complexity	GCF_001273775.1	2
High complexity	GCF_001277295.1	3
High complexity	GCF_001277995.1	1
High complexity	GCF_001278035.1	3
High complexity	GCF_001278055.1	1
High complexity	GCF_001278705.1	5
High complexity	GCF_001278805.1	9
High complexity	GCF_001278845.1	2
High complexity	GCF_001280255.1	3
High complexity	GCF_001280305.1	1
High complexity	GCF_001281315.1	4
High complexity	GCF_001294425.1	2
High complexity	GCF_001294605.1	2
High complexity	GCF_001294645.1	1
High complexity	GCF_001304795.1	1
High complexity	GCF_001305595.1	1
High complexity	GCF_001305675.1	1
High complexity	GCF_001310085.1	2
High complexity	GCF_001310255.1	2
High complexity	GCF_001314225.1	2
High complexity	GCF_001318295.1	1
High complexity	GCF_001402915.1	1
High complexity	GCF_001405815.1	3
High complexity	GCF_001412595.2	4
High complexity	GCF_001412655.1	3
High complexity	GCF_001420975.1	2
High complexity	GCF_001420995.1	2
High complexity	GCF_001431725.1	7
High complexity	GCF_001433395.1	3
High complexity	GCF_001442745.1	6
High complexity	GCF_001444425.1	2
High complexity	GCF_001447155.2	3
High complexity	GCF_001447315.1	8
High complexity	GCF_001454985.1	3
High complexity	GCF_001456115.1	2
High complexity	GCF_001458035.1	3
High complexity	GCF_001458695.1	2
High complexity	GCF_001461805.1	27
